profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
hernametyla,https://www.tiktok.com/@hernametyla/video/7392272516867247365?_r=1&_t=ZP-8xbIOS79WGM,3200000,202400,7761,1531,3.2M,202.4K,7761,1531,2025-06-29T16:18:37.354869
hernametyla,https://www.tiktok.com/@hernametyla/video/7386800830046915845?_r=1&_t=ZP-8xbIOS79WGM,7900000,255600,11700,1769,7.9M,255.6K,11.7K,1769,2025-06-29T16:18:58.734145
hernametyla,https://www.tiktok.com/@hernametyla/video/7386549184784092422?_r=1&_t=ZP-8xbIOS79WGM,4000000,237800,13500,2171,4M,237.8K,13.5K,2171,2025-06-29T16:19:28.970476
hernametyla,https://www.tiktok.com/@hernametyla/video/7383078732396776709?_r=1&_t=ZP-8xbIOS79WGM,20500000,1300000,47600,2121,20.5M,1.3M,47.6K,2121,2025-06-29T16:20:10.061005
hernametyla,https://www.tiktok.com/@hernametyla/video/7382991131375635718?_r=1&_t=ZP-8xbIOS79WGM,8100000,526200,22600,1845,8.1M,526.2K,22.6K,1845,2025-06-29T16:20:39.363215
hernametyla,https://www.tiktok.com/@hernametyla/video/7382535061536574725?_r=1&_t=ZP-8xbIOS79WGM,8500000,501000,18700,1107,8.5M,501K,18.7K,1107,2025-06-29T16:21:12.091731
hernametyla,https://www.tiktok.com/@hernametyla/video/7382526669812190470?_r=1&_t=ZP-8xbIOS79WGM,7800000,765800,28600,1766,7.8M,765.8K,28.6K,1766,2025-06-29T16:21:44.639656
hernametyla,https://www.tiktok.com/@hernametyla/video/7382370203218349317?_r=1&_t=ZP-8xbIOS79WGM,13800000,1500000,62600,3708,13.8M,1.5M,62.6K,3708,2025-06-29T16:22:29.742323
hernametyla,https://www.tiktok.com/@hernametyla/video/7377481977731009798?_r=1&_t=ZP-8xbIOS79WGM,36600000,2300000,63700,14800,36.6M,2.3M,63.7K,14.8K,2025-06-29T16:23:11.884335
hernametyla,https://www.tiktok.com/@hernametyla/video/7377084923586432261?_r=1&_t=ZP-8xbIOS79WGM,1200000,37800,1670,2266,1.2M,37.8K,1670,2266,2025-06-29T16:24:01.565437
hernametyla,https://www.tiktok.com/@hernametyla/video/7374461233174564101?_r=1&_t=ZP-8xbIOS79WGM,14600000,929400,45000,2272,14.6M,929.4K,45K,2272,2025-06-29T16:24:43.454533
hernametyla,https://www.tiktok.com/@hernametyla/video/7374445320522042630?_r=1&_t=ZP-8xbIOS79WGM,9800000,266800,9724,679,9.8M,266.8K,9724,679,2025-06-29T16:25:26.118623
hernametyla,https://www.tiktok.com/@hernametyla/video/7372348606738631942?_r=1&_t=ZP-8xbIOS79WGM,17000000,1100000,44800,2990,17M,1.1M,44.8K,2990,2025-06-29T16:25:57.544636
hernametyla,https://www.tiktok.com/@hernametyla/video/7371882723994045702?_r=1&_t=ZP-8xbIOS79WGM,14500000,948200,49900,1438,14.5M,948.2K,49.9K,1438,2025-06-29T16:26:40.273996
