profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7510279238856035606?_r=1&_t=ZP-8xbEVuFN1jz,19900,3036,134,43,19.9K,3036,134,43,2025-06-29T15:52:44.805062
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7510000313479433495?_r=1&_t=ZP-8xbEVuFN1jz,61800,12900,264,302,61.8K,12.9K,264,302,2025-06-29T15:53:07.991352
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7509896396602952982?_r=1&_t=ZP-8xbEVuFN1jz,28900,4542,99,74,28.9K,4542,99,74,2025-06-29T15:53:34.040854
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7509203798779333910?_r=1&_t=ZP-8xbEVuFN1jz,15000,1601,26,27,15K,1601,26,27,2025-06-29T15:53:54.453146
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7508814743440788758?_r=1&_t=ZP-8xbEVuFN1jz,15900,1850,94,37,15.9K,1850,94,37,2025-06-29T15:54:18.264849
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7508422834591501570?_r=1&_t=ZP-8xbEVuFN1jz,30700,4810,59,69,30.7K,4810,59,69,2025-06-29T15:54:38.559188
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7507969519420230934?_r=1&_t=ZP-8xbEVuFN1jz,23200,3297,87,42,23.2K,3297,87,42,2025-06-29T15:55:03.021804
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7507317876513131798?_r=1&_t=ZP-8xbEVuFN1jz,45600,6891,114,90,45.6K,6891,114,90,2025-06-29T15:55:29.255073
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7506930646678326550?_r=1&_t=ZP-8xbEVuFN1jz,19700,2583,86,29,19.7K,2583,86,29,2025-06-29T15:55:51.609832
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7506573200139062551?_r=1&_t=ZP-8xbEVuFN1jz,18000,1969,51,34,18K,1969,51,34,2025-06-29T15:56:14.551185
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7506201805169151254?_r=1&_t=ZP-8xbEVuFN1jz,29700,4887,136,61,29.7K,4887,136,61,2025-06-29T15:56:35.797771
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7505444165979933975?_r=1&_t=ZP-8xbEVuFN1jz,33400,5967,140,70,33.4K,5967,140,70,2025-06-29T15:57:03.534976
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7505145975925738774?_r=1&_t=ZP-8xbEVuFN1jz,26100,4565,98,56,26.1K,4565,98,56,2025-06-29T15:57:34.209397
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7504749695810637078?_r=1&_t=ZP-8xbEVuFN1jz,29100,5005,163,68,29.1K,5005,163,68,2025-06-29T15:57:57.764704
rachelchinouriri,https://www.tiktok.com/@rachelchinouriri/video/7503936994561641750?_r=1&_t=ZP-8xbEVuFN1jz,27600,4623,125,51,27.6K,4623,125,51,2025-06-29T15:58:23.597549
